measurement_id,sensor_id,timestamp,sensor_type,value,location_id
71,H_3,2025-01-27 23:24:42.505081,Humidity,98.4,GH_3
72,CO2_3,2025-01-27 23:24:44.506030,CO2,401.0,GH_3
73,L_2,2025-01-27 23:24:46.507378,Light,1295.0,GH_2
74,SM_1,2025-01-27 23:24:48.508429,Soil_Moisture,32.4,GH_1
75,H_3,2025-01-27 23:24:50.509691,Humidity,44.2,GH_3
76,T_1,2025-01-27 23:24:52.510756,Temperature,33.66,GH_1
77,PH_3,2025-01-27 23:24:54.511545,Soil_pH,3.0,GH_3
78,CO2_2,2025-01-27 23:24:56.512560,CO2,1409.0,GH_2
79,PH_3,2025-01-27 23:24:58.513516,Soil_pH,5.7,GH_3
80,H_1,2025-01-27 23:25:00.514515,Humidity,84.6,GH_1
81,CO2_1,2025-01-27 23:25:02.515941,CO2,655.0,GH_1
82,T_2,2025-01-27 23:25:04.516844,Temperature,37.58,GH_2
83,CO2_1,2025-01-27 23:25:06.518336,CO2,1178.0,GH_1
84,L_1,2025-01-27 23:25:08.519124,Light,1058.0,GH_1
85,CO2_1,2025-01-27 23:25:10.520970,CO2,1067.0,GH_1
86,SM_1,2025-01-27 23:25:12.522405,Soil_Moisture,53.9,GH_1
87,CO2_1,2025-01-27 23:25:14.524518,CO2,584.0,GH_1
88,T_3,2025-01-27 23:25:16.525767,Temperature,21.15,GH_3
89,SM_3,2025-01-27 23:25:18.528395,Soil_Moisture,73.0,GH_3
90,PH_1,2025-01-27 23:25:20.530141,Soil_pH,3.5,GH_1
91,L_1,2025-01-27 23:26:36.353178,Light,432.0,GH_1
92,SM_2,2025-01-27 23:26:38.354563,Soil_Moisture,70.5,GH_2
93,CO2_3,2025-01-27 23:26:40.355852,CO2,1426.0,GH_3
94,CO2_3,2025-01-27 23:26:42.356637,CO2,1302.0,GH_3
95,CO2_2,2025-01-27 23:26:44.357558,CO2,793.0,GH_2
96,CO2_2,2025-01-27 23:26:46.359075,CO2,1504.0,GH_2
97,CO2_1,2025-01-27 23:26:48.360649,CO2,823.0,GH_1
98,CO2_2,2025-01-27 23:26:50.361476,CO2,1037.0,GH_2
99,SM_3,2025-01-27 23:26:52.367667,Soil_Moisture,76.0,GH_3
100,T_3,2025-01-27 23:26:54.368508,Temperature,27.42,GH_3
101,SM_3,2025-01-27 23:26:56.369364,Soil_Moisture,57.3,GH_3
102,SM_3,2025-01-27 23:26:58.370406,Soil_Moisture,51.8,GH_3
103,SM_2,2025-01-27 23:27:00.371422,Soil_Moisture,57.6,GH_2
104,L_3,2025-01-27 23:27:02.373596,Light,902.0,GH_3
105,T_1,2025-01-27 23:27:04.374230,Temperature,21.13,GH_1
106,T_3,2025-01-27 23:27:06.374894,Temperature,23.09,GH_3
107,CO2_2,2025-01-27 23:27:08.375904,CO2,1595.0,GH_2
108,CO2_2,2025-01-27 23:27:10.376996,CO2,1222.0,GH_2
109,T_2,2025-01-27 23:27:12.377541,Temperature,30.22,GH_2
110,PH_1,2025-01-27 23:27:14.379578,Soil_pH,4.5,GH_1
111,CO2_3,2025-01-27 23:27:16.380366,CO2,1423.0,GH_3
112,L_1,2025-01-27 23:27:18.382605,Light,652.0,GH_1
113,H_3,2025-01-27 23:27:20.383456,Humidity,70.4,GH_3
114,L_2,2025-01-27 23:27:22.385337,Light,1093.0,GH_2
115,PH_2,2025-01-27 23:27:24.386246,Soil_pH,3.9,GH_2
116,SM_1,2025-01-27 23:27:26.387917,Soil_Moisture,94.3,GH_1
117,H_2,2025-01-27 23:27:28.389048,Humidity,56.9,GH_2
118,SM_1,2025-01-27 23:27:30.390499,Soil_Moisture,81.5,GH_1
119,PH_1,2025-01-27 23:27:32.391852,Soil_pH,5.9,GH_1
120,L_2,2025-01-27 23:27:34.392732,Light,234.0,GH_2
121,H_3,2025-01-27 23:27:36.393583,Humidity,51.0,GH_3
122,L_2,2025-01-27 23:27:38.394250,Light,193.0,GH_2
123,PH_3,2025-01-27 23:27:40.396018,Soil_pH,8.3,GH_3
124,T_3,2025-01-27 23:27:42.397353,Temperature,39.0,GH_3
125,CO2_3,2025-01-27 23:27:44.398685,CO2,899.0,GH_3
126,T_1,2025-01-27 23:27:46.399956,Temperature,26.98,GH_1
127,T_3,2025-01-27 23:27:48.401241,Temperature,25.69,GH_3
128,CO2_3,2025-01-27 23:27:50.402838,CO2,1088.0,GH_3
129,H_3,2025-01-27 23:27:52.403693,Humidity,49.9,GH_3
130,PH_3,2025-01-27 23:27:54.405215,Soil_pH,3.9,GH_3
131,H_1,2025-01-27 23:27:56.406478,Humidity,26.9,GH_1
132,CO2_1,2025-01-27 23:27:58.408493,CO2,1397.0,GH_1
133,CO2_2,2025-01-27 23:28:00.409954,CO2,757.0,GH_2
134,SM_2,2025-01-27 23:28:02.410812,Soil_Moisture,96.3,GH_2
135,T_2,2025-01-27 23:28:04.412505,Temperature,36.73,GH_2
136,L_2,2025-01-27 23:28:06.413421,Light,859.0,GH_2
137,T_2,2025-01-27 23:28:08.415177,Temperature,37.98,GH_2
138,PH_3,2025-01-27 23:28:10.416093,Soil_pH,7.6,GH_3
139,L_1,2025-01-27 23:28:12.417607,Light,950.0,GH_1
140,PH_3,2025-01-27 23:28:14.419301,Soil_pH,5.2,GH_3
141,T_2,2025-01-27 23:28:16.420720,Temperature,21.23,GH_2
142,SM_3,2025-01-27 23:28:18.422627,Soil_Moisture,23.3,GH_3
143,SM_2,2025-01-27 23:28:20.424784,Soil_Moisture,57.8,GH_2
144,H_1,2025-01-27 23:28:22.426506,Humidity,77.7,GH_1
145,H_2,2025-01-27 23:28:24.427748,Humidity,42.7,GH_2
146,SM_3,2025-01-27 23:28:26.429899,Soil_Moisture,23.6,GH_3
147,PH_1,2025-01-27 23:28:28.431799,Soil_pH,9.2,GH_1
148,SM_3,2025-01-27 23:28:30.433497,Soil_Moisture,77.4,GH_3
149,SM_2,2025-01-27 23:28:32.435307,Soil_Moisture,91.1,GH_2
150,L_3,2025-01-27 23:28:34.435894,Light,901.0,GH_3
151,L_1,2025-01-27 23:28:36.437119,Light,134.0,GH_1
152,CO2_3,2025-01-27 23:28:38.438494,CO2,536.0,GH_3
153,H_1,2025-01-27 23:28:40.440553,Humidity,77.7,GH_1
154,SM_3,2025-01-27 23:28:42.441707,Soil_Moisture,95.0,GH_3
155,SM_2,2025-01-27 23:28:44.442909,Soil_Moisture,37.7,GH_2
156,SM_3,2025-01-27 23:28:46.444400,Soil_Moisture,99.2,GH_3
157,CO2_2,2025-01-27 23:28:48.465973,CO2,774.0,GH_2
158,T_2,2025-01-27 23:28:50.468321,Temperature,26.76,GH_2
159,H_3,2025-01-28 17:29:47.264864,Humidity,60.1,GH_3
160,L_1,2025-01-28 17:29:49.266446,Light,1366.0,GH_1
161,L_3,2025-01-28 17:29:51.267179,Light,65.0,GH_3
162,H_2,2025-01-28 17:29:53.267932,Humidity,71.9,GH_2
163,PH_2,2025-01-28 17:29:55.268877,Soil_pH,9.6,GH_2
164,L_2,2025-01-28 17:29:57.269688,Light,865.0,GH_2
165,PH_3,2025-01-28 17:29:59.270969,Soil_pH,3.9,GH_3
166,PH_3,2025-01-28 17:30:01.284477,Soil_pH,6.8,GH_3
167,H_3,2025-01-28 17:30:03.287886,Humidity,45.6,GH_3
168,T_1,2025-01-28 17:30:05.290059,Temperature,36.12,GH_1
169,T_2,2025-01-28 17:30:07.290733,Temperature,38.22,GH_2
170,PH_2,2025-01-28 17:30:09.291446,Soil_pH,5.7,GH_2
171,L_2,2025-01-28 17:30:11.292066,Light,622.0,GH_2
172,SM_1,2025-01-28 17:30:13.293644,Soil_Moisture,79.5,GH_1
173,H_2,2025-01-28 17:30:15.294339,Humidity,79.9,GH_2
174,PH_3,2025-01-28 17:30:17.295196,Soil_pH,4.2,GH_3
175,SM_2,2025-01-28 17:30:19.296610,Soil_Moisture,67.9,GH_2
176,SM_1,2025-01-28 17:30:21.298302,Soil_Moisture,91.7,GH_1
177,CO2_2,2025-01-28 17:30:23.300037,CO2,1405.0,GH_2
178,CO2_1,2025-01-28 17:30:25.300929,CO2,832.0,GH_1
179,T_3,2025-01-28 17:30:27.301682,Temperature,32.82,GH_3
180,SM_2,2025-01-28 17:30:29.302518,Soil_Moisture,34.6,GH_2
181,T_3,2025-01-28 17:30:31.304133,Temperature,21.31,GH_3
182,H_2,2025-01-28 17:30:33.305055,Humidity,24.2,GH_2
183,L_2,2025-01-28 17:30:35.305955,Light,793.0,GH_2
184,SM_1,2025-01-28 17:30:37.306615,Soil_Moisture,27.5,GH_1
185,PH_1,2025-01-28 17:30:39.307525,Soil_pH,3.3,GH_1
186,SM_1,2025-01-28 17:30:41.308260,Soil_Moisture,97.4,GH_1
187,H_1,2025-01-28 17:30:43.308925,Humidity,58.3,GH_1
188,H_2,2025-01-28 17:30:45.310660,Humidity,21.3,GH_2
189,H_3,2025-01-28 17:30:47.312083,Humidity,71.9,GH_3
190,H_2,2025-01-28 17:30:49.313955,Humidity,36.7,GH_2
191,CO2_3,2025-01-28 17:30:51.315668,CO2,717.0,GH_3
192,CO2_1,2025-01-28 17:30:53.316898,CO2,445.0,GH_1
193,SM_2,2025-01-28 17:30:55.318050,Soil_Moisture,44.9,GH_2
194,PH_2,2025-01-28 17:30:57.318832,Soil_pH,4.0,GH_2
195,PH_3,2025-01-28 17:30:59.320243,Soil_pH,7.7,GH_3
196,H_1,2025-01-28 17:31:01.321378,Humidity,92.7,GH_1
197,T_3,2025-01-28 17:31:03.323063,Temperature,32.69,GH_3
198,PH_3,2025-01-28 17:31:05.324452,Soil_pH,7.6,GH_3
199,PH_3,2025-01-28 17:31:07.325551,Soil_pH,5.3,GH_3
200,SM_2,2025-01-28 17:31:09.326384,Soil_Moisture,89.4,GH_2
201,H_3,2025-01-28 17:31:11.328176,Humidity,81.8,GH_3
202,CO2_3,2025-01-28 17:31:13.329238,CO2,669.0,GH_3
203,SM_3,2025-01-28 17:31:15.330521,Soil_Moisture,96.4,GH_3
204,SM_1,2025-01-28 17:31:17.332835,Soil_Moisture,26.2,GH_1
205,T_2,2025-01-28 17:31:19.333605,Temperature,37.8,GH_2
206,PH_2,2025-01-28 17:31:21.335762,Soil_pH,6.9,GH_2
207,SM_1,2025-01-28 17:31:23.336735,Soil_Moisture,91.7,GH_1
208,L_1,2025-01-28 17:31:25.337813,Light,1203.0,GH_1
209,CO2_2,2025-01-28 17:31:27.339327,CO2,1081.0,GH_2
210,PH_2,2025-01-28 17:31:29.340037,Soil_pH,7.0,GH_2
211,PH_1,2025-01-28 17:31:31.341677,Soil_pH,5.2,GH_1
212,T_1,2025-01-28 17:31:33.342126,Temperature,41.13,GH_1
213,T_3,2025-01-28 17:31:35.342845,Temperature,35.41,GH_3
214,SM_2,2025-01-28 17:31:37.344475,Soil_Moisture,52.7,GH_2
215,CO2_2,2025-01-28 17:31:39.345190,CO2,410.0,GH_2
216,SM_3,2025-01-28 17:31:41.346848,Soil_Moisture,29.5,GH_3
217,SM_2,2025-01-28 17:31:43.348286,Soil_Moisture,68.2,GH_2
218,SM_3,2025-01-28 17:31:45.348862,Soil_Moisture,50.1,GH_3
219,H_1,2025-01-28 17:31:47.349446,Humidity,53.2,GH_1
220,CO2_1,2025-01-28 17:31:49.350769,CO2,878.0,GH_1
221,H_3,2025-01-28 17:31:51.351445,Humidity,22.9,GH_3
222,T_2,2025-01-28 17:31:53.352784,Temperature,34.28,GH_2
223,PH_1,2025-01-28 17:31:55.354135,Soil_pH,8.9,GH_1
224,H_1,2025-01-28 17:31:57.355919,Humidity,67.4,GH_1
225,CO2_1,2025-01-28 17:31:59.357271,CO2,855.0,GH_1
226,SM_3,2025-01-28 17:32:01.358614,Soil_Moisture,64.0,GH_3
227,PH_3,2025-01-28 17:32:03.360067,Soil_pH,9.4,GH_3
228,L_3,2025-01-28 17:32:05.360859,Light,1361.0,GH_3
229,PH_2,2025-01-28 17:32:07.362160,Soil_pH,7.3,GH_2
230,SM_3,2025-01-28 17:32:09.363935,Soil_Moisture,99.7,GH_3
231,L_3,2025-01-28 17:32:11.365343,Light,962.0,GH_3
232,L_3,2025-01-28 17:32:13.367469,Light,814.0,GH_3
233,H_3,2025-01-28 17:32:15.368165,Humidity,77.5,GH_3
234,PH_2,2025-01-28 17:32:17.369302,Soil_pH,3.7,GH_2
235,H_1,2025-01-28 17:32:19.370942,Humidity,94.6,GH_1
236,L_2,2025-01-28 17:32:21.372869,Light,775.0,GH_2
237,H_1,2025-01-28 17:32:23.373541,Humidity,41.6,GH_1
238,CO2_3,2025-01-28 17:32:25.375443,CO2,854.0,GH_3
239,T_1,2025-01-28 17:32:27.376607,Temperature,26.11,GH_1
240,L_2,2025-01-28 17:32:29.377014,Light,129.0,GH_2
241,PH_3,2025-01-28 17:32:31.378133,Soil_pH,6.9,GH_3
242,T_1,2025-01-28 17:32:33.379376,Temperature,31.41,GH_1
243,CO2_3,2025-01-28 17:32:35.380205,CO2,850.0,GH_3
244,SM_1,2025-01-28 17:32:37.380871,Soil_Moisture,97.5,GH_1
245,PH_2,2025-01-28 17:32:39.381559,Soil_pH,3.0,GH_2
246,T_1,2025-01-28 17:32:41.382647,Temperature,40.19,GH_1
247,H_3,2025-01-28 17:32:43.383920,Humidity,69.9,GH_3
248,PH_3,2025-01-28 17:32:45.384564,Soil_pH,3.7,GH_3
249,H_3,2025-01-28 17:32:47.386160,Humidity,73.7,GH_3
250,T_3,2025-01-28 17:32:49.387424,Temperature,32.17,GH_3
251,PH_2,2025-01-28 17:32:51.388613,Soil_pH,4.3,GH_2
252,CO2_2,2025-01-28 17:32:53.389728,CO2,1164.0,GH_2
253,H_2,2025-01-28 17:32:55.391361,Humidity,64.6,GH_2
254,SM_2,2025-01-29 19:38:34.979565,Soil_Moisture,84.9,GH_2
255,PH_2,2025-01-29 19:38:36.980850,Soil_pH,5.3,GH_2
256,PH_3,2025-01-29 19:38:38.981726,Soil_pH,3.8,GH_3
257,SM_2,2025-01-29 19:38:40.982494,Soil_Moisture,71.4,GH_2
258,SM_1,2025-01-29 19:38:42.983845,Soil_Moisture,70.7,GH_1
259,PH_2,2025-01-29 19:38:44.985212,Soil_pH,5.5,GH_2
260,PH_3,2025-01-29 19:38:46.987333,Soil_pH,4.4,GH_3
261,CO2_3,2025-01-29 19:38:48.989293,CO2,1379.0,GH_3
262,SM_3,2025-01-29 19:38:50.990554,Soil_Moisture,61.9,GH_3
263,L_2,2025-01-29 19:38:52.992370,Light,429.0,GH_2
264,H_2,2025-01-29 19:38:54.993461,Humidity,43.3,GH_2
265,CO2_3,2025-01-29 19:38:56.997030,CO2,1274.0,GH_3
266,SM_3,2025-01-29 19:38:58.997969,Soil_Moisture,69.3,GH_3
267,PH_2,2025-01-29 19:39:01.000043,Soil_pH,9.8,GH_2
268,SM_1,2025-01-29 19:39:03.002392,Soil_Moisture,64.6,GH_1
269,L_2,2025-01-29 19:39:05.004003,Light,1244.0,GH_2
270,T_2,2025-01-29 19:39:07.005691,Temperature,41.66,GH_2
271,T_3,2025-01-29 19:39:09.006515,Temperature,26.92,GH_3
272,PH_3,2025-01-29 19:39:11.007970,Soil_pH,3.1,GH_3
273,PH_2,2025-01-29 19:39:13.008839,Soil_pH,3.6,GH_2
274,PH_2,2025-01-29 19:39:15.011297,Soil_pH,8.2,GH_2
275,T_1,2025-01-29 19:39:17.012705,Temperature,33.97,GH_1
276,CO2_1,2025-01-29 19:39:19.015287,CO2,1413.0,GH_1
277,T_3,2025-01-29 19:39:21.016168,Temperature,22.25,GH_3
278,PH_1,2025-01-29 19:39:23.017212,Soil_pH,5.5,GH_1
279,PH_2,2025-01-29 19:39:25.018624,Soil_pH,5.1,GH_2
280,CO2_3,2025-01-29 19:39:27.019937,CO2,1782.0,GH_3
281,SM_1,2025-01-29 19:39:29.021496,Soil_Moisture,68.6,GH_1
282,L_1,2025-01-29 19:39:31.022353,Light,531.0,GH_1
283,L_2,2025-01-29 19:39:33.023457,Light,934.0,GH_2
284,SM_2,2025-01-29 19:39:35.024499,Soil_Moisture,68.7,GH_2
285,SM_3,2025-01-29 19:39:37.025612,Soil_Moisture,29.2,GH_3
286,PH_1,2025-01-29 19:39:39.027309,Soil_pH,4.4,GH_1
287,SM_2,2025-01-29 19:39:41.028794,Soil_Moisture,60.8,GH_2
288,PH_3,2025-01-29 19:39:43.030102,Soil_pH,5.9,GH_3
289,H_1,2025-01-29 19:39:45.031719,Humidity,30.3,GH_1
290,T_1,2025-01-29 19:39:47.033390,Temperature,28.55,GH_1
291,L_1,2025-01-29 19:39:49.034459,Light,699.0,GH_1
292,PH_3,2025-01-29 19:39:51.035848,Soil_pH,5.0,GH_3
293,T_2,2025-01-29 19:39:53.036952,Temperature,34.28,GH_2
294,CO2_3,2025-01-29 19:39:55.037807,CO2,487.0,GH_3
295,L_1,2025-01-29 19:39:57.039260,Light,883.0,GH_1
296,SM_1,2025-01-29 19:39:59.040190,Soil_Moisture,96.0,GH_1
297,SM_3,2025-01-29 19:40:01.041479,Soil_Moisture,27.9,GH_3
298,SM_2,2025-01-29 19:40:03.042277,Soil_Moisture,37.7,GH_2
299,H_1,2025-01-29 19:40:05.043045,Humidity,77.4,GH_1
300,PH_2,2025-01-29 19:40:07.044252,Soil_pH,5.8,GH_2
301,L_3,2025-01-29 19:40:09.045817,Light,251.0,GH_3
302,SM_2,2025-01-29 19:40:11.046501,Soil_Moisture,54.9,GH_2
303,L_2,2025-01-29 19:40:13.047859,Light,1358.0,GH_2
304,H_1,2025-01-29 19:40:15.049389,Humidity,67.6,GH_1
305,H_2,2025-01-29 19:40:17.050463,Humidity,25.7,GH_2
306,T_3,2025-01-29 19:40:19.051422,Temperature,29.88,GH_3
307,L_2,2025-01-29 19:40:21.052572,Light,842.0,GH_2
308,T_3,2025-01-29 19:40:23.054014,Temperature,25.95,GH_3
309,L_1,2025-01-29 19:40:25.054619,Light,607.0,GH_1
310,SM_1,2025-01-29 19:40:27.056055,Soil_Moisture,61.9,GH_1
311,SM_2,2025-01-29 19:40:29.057522,Soil_Moisture,27.6,GH_2
312,CO2_2,2025-01-29 19:40:31.058875,CO2,1684.0,GH_2
313,T_2,2025-01-29 19:40:33.059697,Temperature,24.94,GH_2
314,PH_1,2025-01-29 19:40:35.061498,Soil_pH,10.0,GH_1
315,L_2,2025-01-29 19:40:37.062295,Light,638.0,GH_2
316,L_3,2025-01-29 19:40:39.063715,Light,1252.0,GH_3
317,H_2,2025-01-29 19:40:41.064492,Humidity,22.2,GH_2
318,T_1,2025-01-29 19:40:43.066171,Temperature,30.06,GH_1
319,L_1,2025-01-29 19:40:45.066921,Light,983.0,GH_1
320,T_1,2025-01-29 19:40:47.068557,Temperature,21.52,GH_1
321,CO2_1,2025-01-29 19:40:49.069325,CO2,1739.0,GH_1
322,L_3,2025-01-29 19:40:51.070039,Light,132.0,GH_3
323,T_2,2025-01-29 19:40:53.070891,Temperature,26.52,GH_2
324,PH_2,2025-01-29 19:40:55.071861,Soil_pH,9.0,GH_2
325,T_3,2025-01-29 19:40:57.074035,Temperature,26.34,GH_3
326,SM_2,2025-01-29 19:40:59.075798,Soil_Moisture,58.9,GH_2
327,PH_1,2025-01-29 19:41:01.076871,Soil_pH,5.7,GH_1
328,T_1,2025-01-29 19:41:03.078202,Temperature,41.39,GH_1
329,L_2,2025-01-29 19:41:05.079608,Light,225.0,GH_2
330,L_3,2025-01-29 19:41:07.080511,Light,629.0,GH_3
331,L_1,2025-01-29 19:41:09.081872,Light,1183.0,GH_1
332,T_2,2025-01-29 19:41:11.082794,Temperature,21.69,GH_2
333,SM_3,2025-01-29 19:41:13.083636,Soil_Moisture,46.8,GH_3
334,H_3,2025-01-29 19:41:15.084481,Humidity,38.5,GH_3
335,T_1,2025-01-29 19:41:17.086226,Temperature,36.31,GH_1
336,CO2_2,2025-01-29 19:41:19.087822,CO2,630.0,GH_2
337,T_1,2025-01-29 19:41:21.089329,Temperature,37.76,GH_1
338,CO2_1,2025-01-29 19:41:23.090200,CO2,495.0,GH_1
339,SM_1,2025-01-29 19:41:25.092007,Soil_Moisture,63.0,GH_1
340,PH_1,2025-01-29 19:41:27.093470,Soil_pH,3.4,GH_1
341,T_1,2025-01-29 19:41:29.095066,Temperature,41.6,GH_1
342,SM_2,2025-01-29 19:41:31.096945,Soil_Moisture,71.5,GH_2
343,T_3,2025-01-29 19:41:33.098031,Temperature,22.86,GH_3
344,SM_2,2025-01-29 19:41:35.099571,Soil_Moisture,89.9,GH_2
345,SM_2,2025-01-29 19:41:37.100811,Soil_Moisture,88.4,GH_2
346,T_3,2025-01-29 19:41:39.101666,Temperature,28.76,GH_3
347,PH_2,2025-01-29 19:41:41.102463,Soil_pH,7.8,GH_2
348,SM_2,2025-01-29 19:41:43.103942,Soil_Moisture,65.8,GH_2
349,T_2,2025-01-29 19:41:45.105691,Temperature,21.3,GH_2
350,T_2,2025-01-29 19:41:47.106493,Temperature,22.74,GH_2
351,SM_2,2025-01-29 19:41:49.107017,Soil_Moisture,88.8,GH_2
352,CO2_3,2025-01-29 19:41:51.107966,CO2,792.0,GH_3
353,PH_1,2025-01-29 19:41:53.108908,Soil_pH,5.6,GH_1
354,T_1,2025-01-29 19:41:55.110074,Temperature,20.54,GH_1
355,SM_1,2025-01-29 19:41:57.110859,Soil_Moisture,48.8,GH_1
356,H_2,2025-01-29 19:41:59.111501,Humidity,45.8,GH_2
357,PH_2,2025-01-29 19:42:01.112039,Soil_pH,9.1,GH_2
358,H_2,2025-01-29 19:42:03.112875,Humidity,63.1,GH_2
359,L_3,2025-01-29 19:42:05.113677,Light,1022.0,GH_3
360,H_1,2025-01-29 19:42:07.116156,Humidity,51.6,GH_1
361,H_1,2025-01-29 19:42:09.117389,Humidity,41.0,GH_1
362,T_3,2025-01-29 19:42:11.118477,Temperature,30.53,GH_3
363,CO2_1,2025-01-29 19:42:13.119669,CO2,633.0,GH_1
364,CO2_3,2025-01-29 19:42:15.121340,CO2,1579.0,GH_3
365,SM_3,2025-01-29 19:42:17.122564,Soil_Moisture,79.1,GH_3
366,PH_3,2025-01-29 19:42:19.123340,Soil_pH,4.8,GH_3
367,L_1,2025-01-29 19:42:21.124334,Light,704.0,GH_1
368,PH_2,2025-01-29 19:42:23.125490,Soil_pH,4.9,GH_2
369,H_2,2025-01-29 19:42:25.126572,Humidity,70.6,GH_2
370,T_3,2025-01-29 19:42:27.127161,Temperature,36.55,GH_3
